1705715484405059099,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484409940481,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484411203384,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484414035797,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484415341615,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484418680906,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484426887750,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484430296182,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484431269407,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484433593273,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484437890291,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484438720464,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484442074298,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484445879220,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484447218179,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484450625896,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484451799154,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484455367326,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484458183765,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484459881544,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484463136911,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484464299917,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484468061208,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484471262693,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484472335338,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484476029634,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484477139472,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484479599952,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484483829975,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484485136747,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484488939046,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484491297245,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484492702007,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484495424270,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484500075340,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484500666379,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484512342453,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484514763116,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484516522407,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:89
1705715484517787218,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484518681287,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484522846460,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484524068832,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484527115583,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484528875827,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484532728672,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484533301830,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484537192344,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484538891315,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484542886734,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484543640136,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484547065258,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484550510883,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484551962614,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484555447578,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484556881904,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484563374996,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484564260959,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484568102121,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484572317123,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484573770046,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484576460599,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484577622890,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484580862998,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484584495067,Np11,-0.7869 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:46
1705715484589392900,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484591281890,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484594511985,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484597436189,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484598681449,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484602502822,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484603065013,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484605703592,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484609464883,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484610861063,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484614330053,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484615657329,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484618053197,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484622864961,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484623363256,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484626702308,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484627979040,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484631551027,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484634398460,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484635867118,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484640109777,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484640931367,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484646614074,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484647864818,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484650378465,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484651512861,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484655072927,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484659430503,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484660556316,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484663257360,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484664493083,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484673368930,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484676570653,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484677794218,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484681423425,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484682520151,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484687370061,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484690030813,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484691536188,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484694168090,Np11,-0.7869 0.0000 -0.2720 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:CC
1705715484695126533,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484699154376,Np11,-0.7885 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:A9
1705715484703464031,Np11,-0.7885 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:A9
1705715484706192493,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484713291883,Np11,-0.7885 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:A9
1705715484716247081,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484718409776,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484719788312,Np11,-0.7885 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:A9
1705715484721102952,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484722910881,Np11,-0.7885 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:A9
1705715484729734420,Np11,-0.7885 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:A9
1705715484730867624,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484733025074,Np11,-0.7885 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7194 0.0000 0.0000 0.0000:A9
1705715484736529827,Np11,-0.7885 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:66
1705715484737989425,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484741222143,Np11,-0.7885 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:66
1705715484742474555,Ni11,02 0.0100 -0.0100 05,02 0.0100 -0.0100 54,02 0.0100 -0.0100:A4
1705715484745777845,Np11,-0.7885 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:66
1705715484749603986,Np11,-0.7885 0.0000 -0.2661 0.0000 05,-1.4864 0.0000 0.0000 0.0000 54,0.7179 0.0000 0.0000 0.0000:66
